City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,lowestoft,52.4752,1.7516,20.23,81,0,0.45,GB,1722284958
303,walvis bay,-22.9575,14.5053,11.72,71,0,0.51,NA,1722284959
304,mankera,31.3866,71.4407,37.71,43,7,2.12,PK,1722284960
305,sydney mines,46.2367,-60.2177,30.36,70,75,7.72,CA,1722284961
306,san luis,-33.295,-66.3356,14.75,32,0,7.61,AR,1722284963
307,madre de deus,-12.7408,-38.6208,26.03,77,0,4.24,BR,1722284964
308,kruisfontein,-34.0033,24.7314,7.16,61,86,3.93,ZA,1722284965
309,salinas,36.6777,-121.6555,24.45,67,0,6.17,US,1722284667
310,hermiston,45.8404,-119.2895,30.13,39,75,7.72,US,1722284967
311,birobidzhan,48.8,132.95,15.43,93,0,0.88,RU,1722284970
312,sofifi,0.7349,127.576,26.03,83,56,1.17,ID,1722284971
313,kharan,28.5833,65.4167,33.44,39,70,1.62,PK,1722284972
314,ta`u,-14.2336,-169.5144,24.55,55,9,10.46,AS,1722284974
315,taoudenni,22.6783,-3.9836,41.05,12,3,0.68,ML,1722284975
316,lagoa,39.05,-27.9833,23.88,82,11,4.98,PT,1722284976
317,uzhur,55.3036,89.8339,15.66,92,7,1.27,RU,1722284977
318,sierra grande,-41.606,-65.3557,10.63,23,12,11.35,AR,1722284978
319,alofi,-19.0595,-169.9187,22.94,49,20,7.72,NU,1722284980
320,selfoss,63.9331,-20.9971,10.67,79,71,2.52,IS,1722284981
321,tegueste,28.5167,-16.3167,20.37,84,20,7.72,ES,1722284982
322,purpe,64.4803,76.6897,18.08,85,100,1.69,RU,1722284983
323,luanshya,-13.1367,28.4166,16.47,19,12,2.11,ZM,1722284986
324,laguna,38.421,-121.4238,30.91,43,0,3.6,US,1722284987
325,port augusta,-32.5,137.7667,4.7,68,96,1.32,AU,1722284849
326,fortuna,40.5982,-124.1573,22.51,68,0,5.66,US,1722284989
327,murun-kuren,49.6342,100.1625,15.91,75,70,0.74,MN,1722284990
328,osby,56.3816,13.9936,16.12,87,42,2.72,SE,1722284992
329,umluj,25.0213,37.2685,31.05,67,100,0.91,SA,1722284993
330,georgetown,5.4112,100.3354,27.96,79,20,1.03,MY,1722284994
331,panzos,15.4,-89.6667,26.87,88,100,0.26,GT,1722284995
332,lubang,13.8584,120.124,27.82,77,85,2.89,PH,1722284996
333,suksun,57.1431,57.3949,12.46,98,100,2.5,RU,1722284998
334,santa cruz,-17.8,-63.1667,17.03,77,100,8.23,BO,1722284999
335,sangolqui,-0.3341,-78.4522,26.27,42,45,4.28,EC,1722285000
336,iskateley,67.6803,53.1512,10.37,81,100,5.77,RU,1722285001
337,skeldon,5.8833,-57.1333,27.08,80,100,2.65,GY,1722285003
338,lorengau,-2.0226,147.2712,27.27,82,36,3.63,PG,1722285004
339,safotu,-13.4513,-172.4018,25.22,63,3,12.54,WS,1722285005
340,serdar,38.9764,56.2757,23.82,66,100,3.2,TM,1722285006
341,vuktyl,63.8567,57.3094,13.75,84,9,1.24,RU,1722285008
342,at taj,24.2049,23.2857,30.49,20,4,5.2,LY,1722285010
343,minden,52.2833,8.9167,19.08,72,26,3.06,DE,1722285011
344,katsuren-haebaru,26.3369,127.8719,28.43,91,0,1.54,JP,1722285014
345,leiyang,26.4024,112.8591,24.84,90,34,2.41,CN,1722285015
346,miles city,46.4083,-105.8406,31.54,22,0,0.0,US,1722285016
347,ierapetra,35.01,25.7353,29.52,45,0,2.68,GR,1722285018
348,thenzawl,23.3167,92.75,23.8,99,100,0.54,IN,1722285019
349,cole harbour,44.6724,-63.4751,22.76,94,74,2.68,CA,1722285020
350,villa de etla,17.2,-96.8,24.27,72,100,1.51,MX,1722285021
351,dwarka,22.2394,68.9678,27.71,88,99,5.06,IN,1722285022
352,mangrol,21.1167,70.1167,27.23,89,100,4.98,IN,1722285024
353,vilyuchinsk,52.9306,158.4028,11.15,94,98,0.5,RU,1722285025
354,mora,11.0461,14.1401,23.37,83,100,2.18,CM,1722285026
355,sisimiut,66.9395,-53.6735,4.58,94,100,2.42,GL,1722285027
356,urangan,-25.3,152.9,9.95,66,0,6.25,AU,1722285028
357,berdigestyakh,62.0989,126.6992,14.41,96,100,3.32,RU,1722285030
358,port angeles,48.1181,-123.4307,18.34,86,75,1.54,US,1722285031
359,al miqdadiyah,33.9786,44.9369,36.91,22,0,6.63,IQ,1722285032
360,beaufort west,-32.3567,22.583,6.89,63,1,2.33,ZA,1722285033
361,gamay,12.3854,125.2979,24.36,95,100,1.6,PH,1722285034
